,delta
0,0.0
1,0.0
2,4.800000000000001
3,7.987200000000001
4,4.110732800000001
5,7.590732800000001
6,9.7200128
7,9.793940787200007
8,9.043695188479987
9,3.5301625472
10,2.263392254072322
11,9.48368722879232
12,7.849062225282438
13,7.891072544320778
14,1.6448070670727617
15,6.6472790979036915
16,7.614281198347314
17,9.135855843374571
18,10.699186023278344
19,8.755023382975764
20,5.2134482349724465
21,5.781953411356625
22,3.598461566793503
23,5.776171457945253
24,1.770395286487343
25,4.7686248912008296
26,4.067153522272491
27,8.741054911357821
28,9.732313856446467
29,10.906801906443263
30,2.6363838943468068
31,7.111055920093179
32,6.176740041001324
33,9.011447592143014
34,9.81376841865466
35,14.039184058845223
36,8.703954650236
37,1.4994270416342772
38,7.092000693870659
39,11.26640044045584
40,11.265760396410315
41,3.2090254943891523
42,6.382800624483707
43,9.693751268544133
44,9.65196318291612
45,9.812766864624564
46,3.71411454113354
47,10.071899277193324
48,6.911187517734334
49,4.1675464786887915
50,7.978355236485243
51,7.180519712836713
52,6.462467741553041
53,2.7241870622018496
54,3.4379154865557098
55,8.246123937900109
56,3.611511544110158
57,7.060360389699099
58,2.544324350729198
59,6.783478675566414
60,9.767073109887974
61,4.296779038989143
62,5.421544048099577
63,8.607370997788621
64,2.340230863871284
65,1.712855504141885
66,9.807031203118754
67,11.82710661279259
68,8.497669026875315
69,3.4194034861408227
70,4.701335617434665
71,8.028249855122567
72,6.6428953636527694
73,2.6966342818171825
74,5.567562190603269
75,6.92780032654241
76,7.3631713578485005
77,5.831424853515159
78,6.055622614976926
79,9.734808186490568
80,4.48436295673514
81,1.1730959423729246
82,2.6870098472088557
83,2.663800323009241
84,10.102971216773653
85,5.302134786395868
86,3.3976144411690257
87,5.674219866144767
88,1.6685456462787442
89,5.090786782781947
90,7.492139891578518
91,4.2458550934861705
92,5.102494115345962
93,7.959016145141163
94,9.711041025467466
95,9.701329984442054
96,11.800020450538682
97,12.62001840548487
98,12.458016564936315
99,1.8800324831466924
100,9.411596487774773
101,3.7137772871217294
102,11.838100790422459
103,9.666002075699225
104,4.690738560103455
105,1.6456274033541831
106,2.643981775950806
107,10.225329793449646
108,4.8613504949640856
109,-13.088753561855242
110,30.772824074961363
111,7.7116017111204656
112,10.040441540008487
113,3.6876527346591956
114,1.644201217943305
115,11.840841715331408
116,8.579948080375857
117,0.695911903549927
118,4.800274725912004
119,6.89624725332078
120,4.9366225279887885
121,7.7393117823867215
122,0.6263207131949002
123,2.363029096951209
124,9.439083445059282
125,5.5044480932382385
126,10.999175100553316
127,1.6426063257675878
128,6.2518756167489755
129,11.285978567968527
130,2.145258797067754
131,5.626688055074169
132,6.0287750348131794
133,12.115923164780042
134,9.493209033699031
135,4.654323496701409
136,10.13007864961844
137,10.45903034373464
138,5.145865898969873
139,9.593761896787441
140,2.6312793090729656
141,-0.20219062573460178
142,3.7160115648912324
143,9.894882358706923
144,9.545512794304386
145,6.535967281510125
146,1.1078716435607703
147,1.1362955533262493
148,7.553904961374087
149,3.9574143301599634
150,8.496298483922487
151,10.37134566931718
152,2.3028064470522622
153,3.6951090543275313
154,8.143180176916076
155,3.0694139452732543
156,4.550194173828345
157,4.192682802516629
158,8.428250353894668
159,5.707811307300517
160,4.232498637927847
161,8.865222671542597
162,-0.24686641183757274
163,6.312177738434002
164,5.680959964590784
165,4.112863968131478
166,8.782132532063088
167,7.5121627276978415
168,12.778519700403422
169,9.504650564970234
170,1.7299264376865722
171,9.60786264862395
172,6.374587061789953
173,-0.25622740807443734
174,7.749176206926677
175,-15.320378716309733
176,40.35181719119987
177,6.493415987967865
178,11.3652803302557
179,6.486922571979676
180,0.18471182673761177
181,3.6620288193337274
182,-0.25963320948562796
183,11.820306751382077
184,3.786070974560971
185,9.638276076243528
186,4.533463877105078
187,8.365799551866075
188,8.480250937580877
189,8.471770686643595
190,4.908331645028738
191,12.352698609417985
192,12.49770759383182
193,11.247936834448865
194,10.12314315100366
195,2.7360898026513496
196,-16.221148669875447
197,40.69516029203646
198,9.549864215156049
199,7.574161872244986
200,6.816745685020578
201,-1.076609933340933
202,7.912334502158046
203,12.066458092708672
204,9.581830769618591
205,1.5650295752984675
206,4.872194166079453
207,7.353615622298776
208,9.366167490596126
209,-1.8587349622412148
210,13.179557096254484
211,9.089507104306449
212,10.180556393875577
213,0.6151385339826447
214,5.208079862543855
215,3.687271876289742
216,1.0499683562907194
217,4.8589183879346365
218,-17.517257586208416
219,39.683333525131275
220,2.1939590180811592
221,2.3500594695465225
222,12.170274912332843
223,7.563825858003838
224,-16.517568927286447
225,16.968798752200655
226,29.818493829473482
227,11.092763338765963
228,3.6055391351646904
229,9.340435379270502
230,8.406391841343748
231,8.56575265720926
232,4.709177391488083
233,7.238259652339593
234,-16.308629036599314
235,34.538317308562455
236,11.316594232715715
237,8.260481093675708
238,9.222366848489173
239,8.252220612582278
240,8.243968391969474
241,3.9043333567556147
242,2.0202222415211963
243,13.553845149168637
244,-0.5773644249900372
245,14.789960457630059
246,1.696372017509475
247,-0.32462821431568045
248,10.478905241600387
249,-20.033447041053932
250,38.766859235217
251,8.67029003401035
252,0.9858849116496913
253,3.1896399989020665
254,-14.549037739598589
255,34.98777591794851
256,4.272337854120906
257,2.320506773899524
258,-0.32981373287407223
259,-0.3294839191412393
260,9.052911644453161
261,4.775825151240042
262,6.432382013714914
263,1.0037926531333596
264,6.888519285003667
265,7.250047904667326
266,5.115372851338179
267,3.917422099065334
268,0.9955388125756599
269,3.5705432737629508
270,6.977722015706377
271,3.2799498141355343
272,10.229838920082102
273,8.452858453705858
274,9.607572608335204
275,7.869118748395977
276,-13.987025149312558
277,28.705144612926915
278,4.705899573940314
279,9.325892661363469
280,5.282435546950637
281,5.158572990021412
282,9.31656676870216
283,7.0912502019334624
284,4.215973004210355
285,7.951089571112107
286,12.522357016976002
287,9.463158951731657
288,2.329297869631546
289,6.408833350222267
290,0.9314941125837777
291,7.3271860937582005
292,-13.317894761436492
293,39.28835325978798
294,9.452764298667034
295,2.109068271458682
296,7.926256960526189
297,11.513672286257588
298,-12.181519661478433
299,27.718043532800948
300,5.98226403584772
301,4.817051930717753
302,3.8609257734037783
303,4.7719312830734
304,11.197891035409157
305,2.866061994983511
306,10.661726214210148
307,7.006895101159216
308,0.9459614607549156
309,2.0833231687870466
310,5.115245923296243
311,5.897336404102134
312,2.9757816860956154
313,4.7499002533709245
314,8.925169996558907
315,10.360097076807506
316,12.265659966839848
317,13.854515182909381
318,7.838635850835544
319,9.266652996903304
320,5.816434118923098
321,7.614920947929022
322,8.072170912445927
323,7.059814674986228
324,-17.241675912169285
325,34.752210672419096
326,1.3509072921829102
327,4.997615295950709
328,3.484547808156549
329,7.347241284407119
330,7.9428239993631
331,7.398856731903379
332,9.993966450317203
333,5.8841933609728585
