,delta
0,6.3500000000000005
1,4.5466500000000005
2,9.250118349999997
3,-0.004546649999998209
4,4.2496682316499985
5,1.824701408484998
6,5.1083247526364985
7,7.792761716650006
8,8.62385723828335
9,9.705233381045069
10,5.371901511286538
11,1.7888173056072247
12,0.829969323139494
13,5.249380461041369
14,11.621519795879223
15,9.853156246152736
16,12.534830284660444
17,3.3841773144408194
18,9.671820386064041
19,5.2632214807286175
20,4.217479017862232
21,9.034938437435983
22,6.631358237961933
23,0.7721900213821868
24,4.131444593692379
25,4.3492315030784425
26,5.768612724809429
27,4.826245362337971
28,9.835569681089055
29,8.948328088697423
30,2.534452157541864
31,8.557897008777786
32,4.663844044417829
33,8.007454739472138
34,6.846233299035418
35,4.75483665734518
36,6.498684089194796
37,3.7312255997904344
38,6.956317822640216
39,3.714207014654562
40,4.337214222353822
41,3.972686040376203
42,4.2967887181156925
43,7.067232366525019
44,5.872765850590099
45,12.495109964036203
46,10.145598967632623
47,4.725912949080907
48,-0.06067181652201725
49,3.8573888552944595
50,5.3736829436128914
51,7.3407475870723715
52,5.6075958084949775
53,4.606672828365163
54,4.788679361889535
55,5.309811425700559
56,5.0821577834956315
57,4.281963903696578
58,3.8430756257120606
59,4.234232000272414
60,5.485521408320892
61,8.845501968016265
62,6.248502616216911
63,8.898468865123732
64,7.368775033283782
65,1.7166427911796518
66,0.5455663181797945
67,7.383049858646984
68,7.738130706906418
69,9.964317636215753
70,3.154444933721493
71,7.711085840425596
72,7.257004858319306
73,8.674560898973994
74,5.574342615241562
75,3.707215062548073
76,6.979897198035587
77,6.174932467515191
78,9.688824154725523
79,8.654137062992163
80,8.645482925929286
81,7.636837443003287
82,5.518566292450146
83,3.696527950287532
84,10.992282283247846
85,1.4179856906912391
86,11.329031608391915
87,12.898497374572685
88,6.257052138867948
89,-10.016085994606556
90,20.706332621194406
91,6.278128447552717
92,5.218634770130052
93,2.270735584663612
94,6.043662026197126
95,8.298315602797516
96,6.627782619869549
97,7.621154837249833
98,9.61353368241248
99,6.771304537793981
100,5.029709634096093
101,1.2146799244619615
102,13.565988119489703
103,2.0645056815075122
104,10.413775370010057
105,13.44071919771909
106,7.601855643048566
107,7.5942537874055915
108,13.6010621115621
109,5.023704298730308
110,1.0499790238840205
111,11.876812666623891
112,3.481138322852985
113,9.689131399961525
114,2.5044363945343093
115,3.080009584087634
116,10.750170967821532
117,4.353992755080867
118,7.458199153792293
119,4.092248499164043
120,3.637995120881442
121,1.3113331304847406
122,1.1801998174363462
123,9.035403233689067
124,8.282231274143214
125,9.579801104468515
126,4.1152798062285
127,1.6253217225269054
128,11.325143748226537
129,9.666106023557859
130,9.76676565322009
