,delta
0,9.891
1,8.628109
2,9.872480891000002
3,9.800000000000004
4,2.8107673992089985
5,8.630767399208999
6,6.235189232600796
7,2.645189232600792
8,3.6071717360280218
9,8.14417173602802
10,4.416236871632165
11,7.931097321923744
12,7.481269354186395
13,5.482428343286401
14,8.93716732437889
15,9.862773634760515
16,7.424538824030179
17,5.7735144558633635
18,3.901005774310235
19,4.426668348176577
20,-0.02089523146406691
21,6.1487762780950845
22,5.98824365609039
23,6.126734772238535
24,7.741149103013811
25,3.221851122631591
26,9.976142200710342
27,9.830186102788161
28,8.720355916685378
29,11.930339676977383
30,9.811635560768707
31,6.701823925207918
32,2.4932658598233957
33,5.768878224933815
34,11.462697449801425
35,0.2518879547185122
36,3.299939083317895
37,10.341364612338396
38,4.250494255868148
39,5.099345459504548
40,12.856421894538585
41,15.443707357361859
42,9.788126453212328
43,14.868361140493732
44,1.3514673854510875
45,-0.05775388595492359
46,5.094303867930989
47,1.2792095640630237
48,5.087930354499008
49,5.0828424241445305
50,4.754259094044471
51,13.515320297603978
52,9.784788267843624
53,6.827481579045525
54,5.315771633098677
55,2.5690053226263103
56,6.038525996728822
57,3.836436317303651
58,1.256599880986414
59,9.538169732129631
60,5.077701107930636
61,4.015321442233471
62,3.7597923544929017
63,7.382583830254816
64,2.644325447229221
65,-0.09067204033681264
66,3.6228565020438737
67,5.317134081627728
68,5.057795775201441
69,6.61075051493458
70,7.775221162497473
71,8.43318754840044
72,7.669584613539371
73,2.5403047918778725
74,5.655601636154415
75,8.529053151438575
76,6.811529875797021
77,9.03253161157187
78,4.691365209317723
79,3.80776448708599
80,5.6141048416166655
81,2.9418484790903676
82,4.89044037203746
83,8.592739710778233
84,9.750198688726869
85,3.7374428225052725
86,2.681031359236613
87,1.6868049521137891
88,5.270406402985714
89,3.115140390115812
90,5.028057662764695
91,6.403101882651981
92,3.7890296051018595
93,3.1379056252918645
94,2.5152405754968186
95,2.512725334921356
96,2.32525934348007
97,11.067801489523845
98,5.512175281682289
99,7.938904663660196
100,6.40448729075888
101,4.068777650917127
102,5.166847549123986
103,6.136602104570102
104,8.625762014808288
105,9.717136252793352
106,4.3091578810397095
107,6.338888822605668
108,9.707419116540677
109,7.597711697424074
110,9.690113985726612
111,8.580423871741004
112,14.372388300412013
113,-1.0067527661692566
114,3.648394924778813
115,8.069687396302243
116,2.5551136080009655
117,2.644746529853819
118,7.515674903864237
119,14.17843719371217
120,-0.3535791161586985
121,10.715960384195341
122,0.5576701433075186
123,10.702312425165587
124,8.570090996000204
125,4.6802482012464
126,5.815023405180909
127,8.96651035804905
128,4.329957641440501
129,2.451265158185379
130,2.616604289176621
131,8.808198893326562
132,8.569017392364117
133,8.927379003993906
134,3.1231319083998414
135,4.221004678830013
136,8.343831162526044
137,9.558397773095862
138,5.781018225340176
139,9.065085450328183
140,3.102916402806386
141,5.024434951004309
142,7.335238953996395
143,9.985154116058993
144,7.963322134072882
145,5.6188134189712855
146,4.451847898942219
147,8.5840676592494
148,12.474043254654362
149,4.956932077074157
150,9.486397168954795
151,4.587901225527048
152,6.303757452059472
153,8.294183090728211
154,5.331381706853449
155,5.939784492638637
156,4.959118660145464
157,9.196282200939322
158,9.891205437965027
159,8.523439910705747
160,4.372882964730479
161,1.0994520514072974
162,6.482484485113218
163,1.0983525993558487
164,9.936412764110628
165,11.524617148855441
166,10.372155433969738
167,8.737836704993015
168,3.521476650622617
169,4.907254246756565
170,8.914714135913755
171,8.134711453947375
172,3.8701364527937585
173,6.406386231149099
174,7.704383817379039
175,5.3703550443981385
176,5.543873920597207
177,7.244024629996375
178,4.133622166996702
179,5.538330046676492
180,5.532791716629845
181,0.8983010048643791
182,2.52725892491344
183,5.413132610384309
184,3.723302874659339
185,2.5193185333778274
186,3.5167992148446956
187,4.84014532344645
188,8.953717620750467
189,7.834217569627981
190,6.2365482442673965
191,3.5237641348578563
192,8.668214088847662
193,9.579053467214635
194,3.3248934198406914
195,9.94937480187832
196,3.3778411348839654
197,9.184680874320748
198,3.703981520479374
199,9.632906957416026
200,8.462392591092112
201,6.0173452731985435
202,3.9763863306950498
203,4.494464827798083
204,6.527699715577455
205,9.126906026462393
206,6.986562763830534
207,5.489970362970325
208,3.001746207307633
209,5.484480392607111
