,delta
0,2.648
1,9.891
2,5.623052000000003
3,3.335891147999998
4,9.335891148000002
5,9.296664108852003
6,1.7966641088519992
7,0.24332297042834483
8,0.21899067338551248
9,5.794867444743147
10,2.7890725772984055
11,4.181591606046965
12,9.534527832610458
13,2.9081598755390843
14,7.582585334603621
15,3.7328334031108454
16,9.29387730805125
17,4.779642511442461
18,2.7748628689310095
19,1.7720880060620772
20,5.346984577653274
21,7.7644909821005115
22,7.313217602380547
23,6.656885060655526
24,3.4151965545899685
25,1.7649689334783716
26,1.7632039645448856
27,4.22815343731358
28,9.7567264911184
29,8.36381355840075
30,7.675390793500753
31,3.757212607143032
32,3.7534553945358766
33,4.020187216035055
34,6.746969764627295
35,9.299786045658323
36,4.206797319649809
37,10.844879315349687
38,3.7414749546056782
39,4.737733479651041
40,6.23902244251974
41,4.938196744259187
42,10.014603488410899
43,5.435822815185901
44,6.551289598273229
45,7.460344611937245
46,9.714357115730309
47,7.924724926872841
48,9.766579272961224
49,8.696718033687716
50,14.889301640028464
51,6.688021315653998
52,7.758930791188334
53,11.583010541249905
54,6.681333294338401
55,7.171037712069506
56,2.4191546920380347
57,3.722621726611976
58,8.099366345177202
59,9.85294073208911
60,6.451016686760795
61,7.289429710659476
62,8.222544990204028
63,4.817675530280042
64,8.03743661709126
65,5.131614202343997
66,4.864975808388635
67,8.766728116751551
68,7.627020285511662
69,5.741722761414223
70,8.522748810340488
71,9.196055305076413
72,8.664702671311375
73,8.656037968640078
74,8.647381930671429
75,1.5900710784273997
76,5.7986304387469545
77,11.694847901950084
78,4.531063970584569
79,8.397938444842907
80,4.292473929306425
81,2.6897311494509495
82,8.07541387467154
83,8.469975893763944
84,4.678966004426911
85,11.368144600358619
86,10.958884787165061
87,4.611307460109288
88,2.295641291983543
89,1.6742870384224489
90,6.6325471829194385
91,3.810553302011158
92,1.6659802042011052
93,2.6643142239969393
94,4.849766011124416
95,5.7580003016570345
96,6.64217629797713
97,2.1679586681794945
98,8.106305051671711
99,3.984724471606796
100,3.653543604721335
101,5.790305665949404
102,8.859339984789585
103,3.9479528413135085
104,8.178122430644521
105,3.5531575571820895
106,7.067417838172673
107,10.932015915761667
108,9.71536957852004
109,8.584635912458907
110,9.942172321213206
111,8.437797217742968
112,4.4245003679670845
113,11.175707232265268
114,2.8724453471645575
115,9.541476053020347
116,7.032374225585386
117,7.2813284477183515
118,9.512062474810023
119,4.01299456496713
120,4.6316469360460815
121,1.6270152891100906
122,1.6253882738209313
123,10.468176249884436
124,2.013216107869198
125,5.702667019575074
126,7.268050152210208
127,8.092392590127247
128,4.829041363504757
129,1.8069174794600258
130,10.761228426101525
131,12.42955758677158
132,8.401695160299141
133,6.006405509133856
134,8.51687340436115
135,9.317729098050677
136,5.31716251544708
137,7.665186063924921
138,6.544299684231191
139,5.599611233058226
140,7.395519024114492
141,9.835222127030875
142,10.173496958853889
143,4.9725200199226265
144,7.75005180032349
145,9.53659261319126
146,4.188863884843158
147,3.7613533355730624
148,10.333866813596615
149,4.79303031090501
150,10.774990133016559
151,4.668862965912467
152,9.61261766312964
153,5.480451302983056
154,13.003920575812003
155,7.5799766693212405
156,9.19952851823075
157,6.821979002389071
158,2.559868296315699
159,9.54957566640769
160,10.982968604544794
161,2.0858331340200493
162,3.557308428019269
163,8.834835606544857
164,6.521733462452858
165,5.044002424228893
166,6.20407208003985
167,3.620279575706718
168,1.9522516181359606
169,8.565555181814034
170,5.62755007920714
171,1.5363507288029723
172,1.5348143780740884
173,8.505694319056829
174,7.6081149359768006
175,5.084904154453852
176,5.3045170997011155
177,7.2420996174757875
178,4.491033251860927
179,4.38417322381315
180,7.247836594943465
181,7.06250194766244
182,2.514978319025431
183,9.798240628267877
184,6.482391053364154
185,11.354651916183002
186,2.8569955011430466
187,1.9232601185565272
