,delta
0,5.152000000000001
1,2.8000000000000007
2,9.891000000000002
3,8.628108999999998
4,6.170137100000002
5,6.964235363900002
6,8.225734691026098
7,2.790235764636101
8,3.8031359854579776
9,12.05858309831158
10,11.85272478848043
11,5.8399050251828015
12,8.473533695804676
13,7.028272315606216
14,7.00097298440528
15,8.018541409501694
16,1.7766414199016083
17,5.7748647784816995
18,5.565845409899836
19,8.515305077771558
20,7.255315872697025
21,8.76377456999441
22,3.7198897540386895
23,9.994897742990503
24,5.809301367761208
25,2.8984678310806373
26,8.995407968691467
27,6.172524447877038
28,2.140659639739141
29,5.155666198644781
30,4.107206039115425
31,-0.042009008894069666
32,3.223193889854656
33,8.134542437897466
34,-0.045190193775027865
35,2.6028549964187278
36,8.663631433652483
37,10.836694426935537
38,7.6843448469221585
39,6.558018430132563
40,7.722788245256879
41,6.892875362287384
42,4.744582528675494
43,4.874709031398595
44,7.055897690506015
45,3.0058536678055248
46,6.515268301024946
47,9.085771999618828
48,4.249799349417685
49,7.131280369018214
50,6.696866884609449
51,11.526979649762893
52,6.255132726014949
53,-2.5220260915528456
54,17.33813095353571
55,1.7258774651158433
56,9.222602902723509
57,5.800481322459916
58,5.724151587650681
59,6.298590263374706
60,5.787124197391336
61,4.253741030752224
62,2.566346830979171
63,3.8337804841481784
64,6.482269697991001
65,10.978712771127391
66,12.168841494014657
67,8.924379050387358
68,7.282342937889723
69,7.771519439574433
70,3.713789201391137
71,5.057464433966061
72,3.818406969532134
73,2.5445885625625237
74,3.3859967315858626
75,5.857588198320059
76,1.2326579772684454
77,1.2314253192911337
78,6.134009875734478
79,10.7438898071116
80,3.9778047599672846
81,3.369912821727894
82,1.2301938939718298
83,6.314762418475937
84,9.147361538748783
85,9.757322329741783
86,3.3722559129307683
87,6.137811367520953
88,11.31413738876438
89,6.7426736470222295
90,11.056559335404131
91,4.965204545410984
92,4.885554921824109
93,3.45207621958059
94,6.765529543592152
95,2.517625571370104
96,5.019107945798623
97,3.7800888378528725
98,10.616105993243082
99,-8.083724872341804
100,23.90009598065899
101,7.198719441277603
102,8.145018042402285
103,6.035606498003858
104,5.980309020818481
105,9.636046120006881
106,8.626410073886973
107,4.197850821875136
108,3.7703284399941595
109,7.760800265180137
110,8.613585812991232
111,6.318160605770345
112,5.0005581115542554
113,5.017517933961813
114,3.7615575534426853
115,4.675795995889189
116,1.1771201998932384
117,6.335713440752215
118,9.349232699410322
119,6.70214209667688
120,5.036309429469384
121,5.03192788700926
122,4.5326784865224
123,5.528735098308289
124,8.604972227178223
125,-4.7366400059936495
126,26.960569041675853
127,8.827753838968192
128,6.271242166831826
129,5.565831429587661
130,8.893934262489665
131,11.545540836240662
132,9.590096012784215
133,7.996026001510245
134,2.614287535522635
135,8.697239038342104
136,6.355966791212268
137,7.45675584683795
138,8.57414994998021
139,12.018885215109094
140,9.563996693598483
141,6.601173945929759
142,7.255819987004315
143,6.55897462608425
144,9.652415651458114
145,8.578040882362302
146,6.038391081901864
147,9.477165625780458
148,5.2715519737116665
149,2.595519253101884
150,6.558813040015821
151,8.877242488564661
152,9.466850785845736
153,8.86731400974304
154,10.080582608768736
155,3.9792663459181767
156,2.5863649208087054
157,4.468932375157124
158,5.328039137641326
159,1.5837785558881023
160,9.42559367715512
161,1.7442509629429424
162,4.582194777332006
163,9.0762205211754
164,5.346367030071633
165,8.854981022366474
166,4.922008981200861
167,-16.263779330157377
168,27.180963311571304
169,10.833495941673391
170,3.8452240276481007
171,-0.22170094807324858
172,4.9305207528746
173,9.37491944840599
174,9.607213077656297
175,1.7131534777929573
176,11.72664481320885
177,10.730529525427073
178,6.657476572884434
179,0.35161217101654074
180,5.944822094368419
181,6.499409460974675
182,0.2550473951598633
183,2.4039187652142573
184,13.769676783792875
185,7.49265500411866
186,8.00819854774636
187,9.495378692971599
188,9.585162349114398
189,0.6529435875484069
190,13.0834130233834
191,1.0769779485451636
192,1.5848435662005613
193,1.4263592095805961
194,4.54857213210812
195,12.320222877559672
196,0.8357625736193768
197,9.854200589803668
198,1.727752174648458
199,2.376329220205889
200,12.32021450783418
201,10.155428267800744
202,9.400940269307966
203,3.212596696273067
204,12.59798804493039
205,2.1662882916307353
206,7.564942596682386
207,6.010326732342492
208,8.292316405610109
209,5.020682956856945
210,3.5901288518123238
211,8.566410007671266
212,11.782636720453866
213,4.188425579885461
214,8.395138025913639
215,10.085530490419387
216,9.442333622726437
217,-0.9157600536718746
218,-0.022735125872259232
219,11.76511118800704
220,7.20551105388904
221,9.43380704915694
222,2.4971812543926717
223,2.495354979357444
224,13.254697326227642
225,1.8007550016079676
226,3.4928596243780703
227,9.17094645088423
228,5.090396302898171
229,2.66157160611192
230,6.827070432993878
231,9.521876060853401
232,1.696032467275245
233,2.4801958183029456
234,13.55893633397909
235,3.2851574495521163
236,1.8909044654769787
237,5.701814018929326
238,0.012032284771748891
239,3.4701229040001635
240,5.506371223790666
241,4.4666527810964
242,8.320432937230635
243,1.226686512730339
244,4.811703161362175
245,11.010128303566034
246,10.822258156651515
247,5.282092867788833
248,2.4511760000118556
249,5.822661292131443
250,9.406146308363077
251,4.350258628330039
252,7.02588196194074
253,8.39238990342642
254,0.6715560893867405
255,3.44169894204947
256,7.499609904939689
257,4.045128675710885
258,9.276922263725737
259,10.745505535124039
260,9.479280828757965
261,9.369801547929
262,-0.42587712541990186
263,3.5358669368317805
264,4.452280243148607
265,12.173127357228395
266,0.8218501954875137
267,10.037177790859005
268,9.165525474763172
269,3.406770015695656
270,4.4033632456801115
271,9.252446685635505
272,3.422541191987875
273,7.666033595078716
274,10.860105667953803
275,3.8994302355708896
276,-29.76517695375651
277,44.23793900019791
278,8.517698932062785
279,6.350015794192814
280,6.464048762482662
281,9.627643886234637
282,4.378141971918012
283,4.596824254299463
284,9.703535871169152
285,5.369167005691679
286,4.560875179545974
287,10.778734527214056
288,-23.180009487149164
289,42.369827688248506
290,11.620476279059858
291,3.104787661591672
292,9.36180715847513
293,9.247230681266501
294,8.352445351316874
295,10.336511984863591
296,3.3561321758452323
297,9.828059715060135
298,10.115253743554149
299,6.212406676317187
300,8.997146132740909
301,-20.445774571065158
