,delta
0,3.918
1,7.899882000000001
2,1.732288318000002
3,8.630100117999998
4,9.359378543482002
5,4.436468229681999
6,7.5005303753337955
7,6.418380331682002
8,5.628241059550319
9,6.327051637550326
10,6.7068648109107585
11,4.3493773878339965
12,5.355774681992941
13,8.676254719034588
14,5.440400023336991
15,5.358796816104004
16,6.3085773210785305
17,6.302268743757423
18,9.673966475013685
19,13.553425290886594
20,2.036399651812644
21,8.156678649617703
22,4.120759686631345
23,5.393514362400424
24,9.638672350444665
25,4.662912280662255
26,5.808391488854426
27,7.090403724292486
28,5.883660431125293
29,3.3666214253915143
30,9.382253671328016
31,8.557588776488473
32,13.698953523643212
33,10.329058171278888
34,7.423031187711956
35,9.631608156524237
36,10.984561649230386
37,4.663299767925935
38,11.979638888146951
39,10.419775507514771
40,2.3691550819128224
41,3.1566348520414635
42,8.112339186401641
43,7.403607393285824
44,1.391878834392969
45,9.477858404301628
46,2.581543856812857
47,10.14254733080628
48,7.345088676058197
49,1.7347109855465987
50,2.2578001810859973
51,3.732976274560997
52,1.7292432982864057
53,4.727514054988205
54,8.935848136387449
55,6.279817733249388
56,4.713850692796768
57,9.19258020906068
58,5.938572619208344
59,6.8612408774562255
60,11.213782065524924
61,11.092403858972261
62,8.50601197284891
63,4.047377006870761
64,4.639452263787462
65,3.6930830210175145
66,13.052326315094206
67,11.22594898206728
68,7.844150025255999
69,7.048593996601085
70,4.706065330928027
71,6.5817004306435365
72,10.320824108282295
73,5.657545828393836
74,4.8096350647028885
75,6.200752518538138
76,8.832959465592808
77,2.9295374173868822
78,2.6775317089351347
79,6.964817090995666
80,7.353622228602376
81,6.396813983981133
82,1.6678893601351774
83,8.977933586156382
84,8.60098090840063
85,3.5432536322364285
86,6.859522067387502
87,1.6662214707749854
88,4.664555249304385
89,2.8823167559365857
90,7.180544068511722
91,7.336328538757471
92,8.81796145248893
93,8.454992210218734
94,9.536537218008561
95,4.372763230384749
96,4.652710149986547
97,5.107577247974291
98,5.902819523176731
99,13.106060276224298
100,13.250230280442565
101,10.825207252398286
102,9.74268652715864
103,2.0171052121950197
104,8.137273561208758
105,7.968111290449997
106,9.588397705838588
107,1.4589847735351213
108,8.689895122399548
109,5.714385913299225
110,6.937821242913969
111,7.515714457629201
112,7.578809308132577
113,10.919924782481075
114,3.7312530383127296
115,10.531839184164369
116,1.6719548437212097
117,5.673283754443219
118,3.8719553789987913
119,10.940601782457634
120,2.5878789358125687
121,8.84654160421178
122,9.567499245786166
123,4.360305005183136
124,8.596983973249621
125,11.150195597918582
126,10.19817603812669
127,3.8242745046647997
128,12.00883645307374
129,6.0989093114629895
130,3.784721806877428
131,4.954317880445274
132,9.910651175575936
133,1.5350068100566432
134,4.596578158710258
135,6.259744829601118
136,1.8365673667633473
137,7.481661821511352
138,9.65554398151562
139,4.106993862733816
140,9.6442615932217
141,5.393595150416672
142,-20.792425999678926
143,31.33450804573158
144,12.02907803386745
145,9.343989023221866
146,7.527853286873096
147,8.520325433586322
148,8.511805108152885
149,3.9672944764603244
150,12.623954871583123
151,2.7136098824780674
152,12.630206762790067
153,1.692639363746821
154,6.566578844436663
155,10.534757383521992
156,8.498887053798398
157,-18.05906702901484
158,38.86372385641448
159,-18.507767960855972
160,30.991238642861845
161,10.562274499206524
162,9.81252376019279
163,6.391858825928466
164,8.34871216685383
165,6.510750619148212
166,3.7356680115860854
167,8.951352986820439
168,6.087781827116032
169,7.2179472200509736
170,6.6973009403432116
171,2.37900364440452
172,11.41509220710509
173,4.141103279964227
174,9.30439867453515
175,9.491631979777821
176,5.169420624901477
177,11.62322377710916
178,12.813653687440592
179,3.37111319366727
180,7.956901399398021
181,1.6993801452542812
182,9.481869007459863
183,5.567732239981979
184,10.084887598472278
185,10.824621125467957
186,10.995159012921249
187,3.9093628882326357
188,9.537682311531853
189,10.28267003756423
190,8.775449102853827
191,2.640881689123944
192,5.796130828784271
193,10.384619782213349
194,6.6618933820955135
195,3.8106041820019527
