,delta
0,6.3500000000000005
1,9.72165
2,8.120835
3,6.313056015000001
4,8.424992545485
5,5.195056014999999
6,5.717744045485006
7,6.247807074003013
8,6.890502541262791
9,5.5240198443113115
10,4.971617859880169
11,5.035186118187724
12,9.600773172539533
13,5.5739357128371125
14,5.426022690739757
15,7.087978352780738
16,3.8834204216657753
17,8.128546816369635
18,4.2998045143197885
19,9.840496785884042
20,9.667656289098147
21,7.441988632809057
22,10.189319786165242
23,6.537888091959189
24,8.81763872865264
25,9.82627730583178
26,7.434546644176265
27,13.79183208576194
28,9.643112097532082
29,7.55669164721121
30,4.7237124630474625
31,9.574787498192364
32,6.255468985434561
33,7.748926444811133
34,9.411257973930987
35,3.055200721581855
36,2.7545873830639493
37,6.124597047974476
38,6.246737951253351
39,9.26360631106138
40,9.133837671508502
41,3.9394818251421384
42,8.727254380644297
43,9.620218833902356
44,9.610598615068511
45,9.763988016453425
46,2.600051279769218
47,10.372036861640254
48,14.738353422820865
49,6.210623977157184
50,9.582413353180073
51,8.48283093982684
52,3.0159402551739163
53,4.662255350111366
54,2.9260298151002644
55,10.979315617701332
56,9.727348108887043
57,6.850229426193948
58,14.654391518711009
59,9.554620760778107
60,9.708066140017365
61,-2.7158762193025154
62,7.220509891878919
63,13.264821450160014
64,4.515991243926919
65,12.323086624307734
66,16.830754667003134
67,14.147679200302832
68,7.322073950096751
69,3.186534308610021
70,3.8144009902143807
71,4.76958803151274
72,13.93822318391517
73,9.530751876146496
74,9.68422112427038
75,16.041425497512478
76,-0.9944979233783897
77,6.672513323569092
78,3.7966483660403583
79,13.968563061546433
80,6.880004052567529
81,16.322841523322268
82,-0.2622921997094636
83,8.735739827620591
84,8.422793693269114
85,14.45871689595242
86,6.126370899575932
87,6.120244528676267
88,9.492124284147849
89,5.610970200650172
90,-7.640833923128184
91,24.63740593627358
92,8.760655405458238
93,18.53860010214703
94,5.049873180585109
95,15.684740091932326
96,4.632878516114488
97,2.6502484990921857
98,12.154157652019762
99,2.184859618465225
100,4.400492603145153
101,3.75799325713308
102,10.411191972515326
103,3.6798360770569616
104,7.91494256110434
105,9.64563215986368
106,5.754010694918406
107,13.230365888820529
108,-16.71224404193981
109,28.306094412822176
110,12.670478198938213
111,4.366971587385365
112,6.117703194684054
113,2.5711554648343053
114,1.7604772662342612
115,2.4883271677080074
116,2.830773929213933
117,-14.852649373780991
118,26.038084349297606
119,5.609407133428476
120,6.203924413839445
121,4.409393629583974
122,6.948993970390234
123,11.643003189260071
124,8.478702870334132
125,6.208364443397613
126,7.02006194178432
127,5.28251413129442
128,11.476560477241378
129,8.552210629721685
130,9.543658419092026
131,0.9446758132836521
132,2.590573739939373
133,8.403918370864858
134,4.919907199116096
135,10.014478218849831
136,8.728411531854931
137,5.6365086696850994
138,8.01303039696495
139,3.8913983851748526
140,3.569955657583705
141,8.08518044419452
142,5.566385701926038
143,2.6757345842656832
144,5.560819316224297
145,3.5552584969079817
146,1.551703238410937
147,3.550151535172745
148,8.178683471064687
149,6.515167951833291
150,7.81433166733359
151,6.8284339590243235
152,8.925269991715822
153,9.844918503447389
154,6.634177138337691
155,1.5466013836373804
