,disengage,engage
0,0.0,0.0
1,7.0,0.0
2,0.0,6.0
3,7.0,0.0
4,5.0,0.0
5,3.0,0.0
6,3.0,0.0
7,3.0,0.0
8,6.0,0.0
9,5.0,0.0
10,5.0,0.0
