,delta
0,8.638
1,3.8000000000000007
2,5.275162
3,8.629361999999997
4,8.899704837999998
5,4.790924838000002
6,4.020742596962002
7,6.003930933161996
8,8.767131759345048
9,6.106465357265797
10,6.323832933161995
11,11.139885901410537
12,9.695509100228833
13,7.776429993269488
14,0.9544109639222569
15,3.5069698675300316
16,4.426272880777034
17,5.780129982228843
18,5.7743498522466155
19,6.192968311621982
20,10.142680497555602
21,2.7685755023943557
22,5.57367148045978
23,8.595813591128632
24,9.502501422537051
25,5.765806926891969
26,2.2197789776035677
27,2.8315520202970674
28,6.670030527214919
29,5.035645002369449
30,8.580547747010257
31,9.303389816055073
32,5.757209567944784
33,4.920523976842219
34,3.4824831106211604
35,9.824967199263227
36,7.456205555044107
37,2.197237407109469
38,3.7479698752662216
39,4.924562684049874
40,5.888158424962796
41,4.721376036110939
42,-0.05596740793146182
43,8.276355550834637
44,10.491389872346303
45,3.8538122039255995
46,2.9583097586469194
47,5.641859166419181
48,9.802964650472859
49,12.773652177333929
50,5.590287801788691
51,2.098292866140241
52,5.888463579526274
53,8.587270768132555
54,9.396552881612024
55,2.571371120953529
56,6.404322768593147
57,5.072799749832598
58,1.2577269500827697
59,4.390612635025491
60,5.951551371522896
61,4.710888493245079
62,4.706177604751815
63,1.701471427147112
64,4.017696696996438
65,2.62658423953269
66,8.217914185784593
67,5.75349931997215
68,9.793412951580535
69,5.699769955719944
70,2.0361958969625675
71,1.8325763072662653
72,3.260023676776541
73,7.701091226039637
74,3.521272167552013
75,9.536142336823275
76,5.429933803785332
77,5.041251464700622
78,6.188210213235891
79,5.0300220030227365
80,-0.7037187063321539
81,11.218271341792729
82,9.76981734149797
83,7.503486743038252
84,5.485865081109409
85,7.381047524156543
86,5.563874033387265
87,8.126858551449516
88,6.2061026025988895
89,6.199896499996385
90,10.396238711764227
91,7.4470197183521805
92,11.783424724295287
93,6.792141671905824
94,2.5087628149266266
95,3.3138634905429853
96,9.1775042773844
97,9.259753849645904
98,4.548241511813671
99,1.1969401886210562
100,3.7717432484324718
101,5.811979444624512
102,6.1607029859184195
103,2.492159525739453
104,5.743261098446851
105,4.321475143194107
106,8.219182519551055
107,8.596761027778484
108,8.737084925000545
109,2.4853458910704376
110,7.109425675716466
111,7.398483108145001
112,2.482860545179392
113,4.904437991302984
114,3.4139941921728223
115,1.5582060546853427
116,9.714945074835668
117,7.071884596714881
118,6.4603192804901255
119,12.310779911190707
120,6.598158245164086
121,7.895734103867426
122,8.467505018712359
123,5.592657601296082
124,4.271172355499857
125,3.0333918411665763
126,2.939479531798497
127,2.6455315786188294
128,4.927859801183558
129,11.797325070759825
130,6.305895651723745
131,6.099017081165471
132,9.67662814182495
133,1.7356029687302907
134,8.765168370530887
135,8.565215910714187
136,4.545313053107066
137,2.4552702669418522
138,5.698616742885292
139,11.34700694612377
140,10.146030619504472
141,9.212306251511336
142,8.552105381750494
143,13.501684851410687
144,6.543553276368698
145,9.63700972309232
146,14.84339210321616
147,3.8309381809909837
148,12.62360104394179
149,4.797844362891851
150,2.5894950841965283
151,4.586905589112348
152,7.551240939547597
153,11.4061746385064
154,3.087721668123095
155,7.101801290737058
156,4.352202183438521
157,7.758522190073904
158,8.519932789517611
159,6.511412856728157
160,4.467999826226901
161,0.07237936809042367
162,12.113354459993047
163,13.296412872315955
164,0.5202350494503207
165,-18.7439838666852
166,33.23009066230895
167,4.917352619572739
168,2.4084352669528926
169,10.220943495236952
170,7.719231597457565
171,8.097631589086859
172,6.6948491457130785
173,6.357098503137422
174,3.377364231141655
175,10.610641844920337
176,6.08468352721502
177,12.234640869804025
178,8.33583848981084
179,3.552631325512266
180,13.18813529454087
181,11.429068902642939
182,2.0713681929610175
183,3.6557336748139733
184,4.886077941139092
185,12.074387216189962
186,4.925870723644266
187,-0.2708081368018611
188,9.881941806677332
189,7.190952781078522
190,6.956721768641273
191,4.332442799730416
192,7.899198519757192
193,5.795651951336367
194,6.021761828297713
195,6.015740066469334
196,9.55072432640327
197,11.032355209481011
198,1.990637527555009
199,6.683048210963534
200,11.50935257961737
201,10.12619280376066
202,9.539182964549127
203,7.150643781584677
204,1.6189643336347217
205,11.778687115193861
206,-20.48843044405112
207,43.159170291277405
208,9.359493137802929
209,6.672000969080955
210,8.951408224316992
211,14.912202706027983
212,8.260133644665075
213,5.399770015777449
214,12.75505322098661
215,5.963873511020665
216,-2.4714794905512463
217,10.525767640733648
218,8.248381117000008
219,1.3708813432363058
220,2.3305292145964813
221,11.462444938763838
222,15.096812656259317
223,10.487131390633294
224,3.708954047125644
225,9.046200444887745
226,11.067522846857173
227,7.112761854539713
228,5.126880201771655
229,6.943711530077508
230,7.5397438239983785
231,5.460626820169864
232,-20.878808828686942
233,36.7981945833792
234,9.083655898514507
235,16.966909454087045
236,10.706183283577047
237,1.7439458097951501
238,12.302372439939518
239,3.6930299472610386
240,10.961379406377091
241,-21.66201135176243
242,50.59434978894069
243,9.317956062738176
244,3.820928925223143
245,3.5591889167681074
246,6.621800224273784
247,7.546753957664123
248,11.328068879674447
249,0.9440258324557362
250,2.2790079276269353
251,13.288720549119944
252,7.091694080842899
253,9.463602386761977
254,12.411123743823055
255,9.170011369440772
256,0.5817153872849303
257,6.179742140130884
258,4.371381307279307
259,-26.539524145921632
260,33.42147297749739
261,10.86372034070996
262,9.873461925110178
263,0.7094337437133618
264,6.165289342567576
265,2.548760408310727
266,4.293884367479677
267,12.351582247266606
268,2.617799049803807
269,2.2738733991170648
270,10.573036682628299
271,4.627863242916192
272,8.35914667130396
273,0.9550264890353901
274,3.6177796265878897
275,4.256001663929283
276,7.931323949828538
277,9.147611184620928
278,3.402927613866268
279,11.251931346519314
280,1.341630392178331
281,3.403067002244825
282,4.918760302020019
283,3.7359368710240233
284,9.045372384911161
285,8.607108193830527
286,8.185955466053429
287,8.563769510587463
288,1.8828520848264816
289,6.067460275505482
290,11.591022503532713
291,8.55332288899217
292,8.158769566103047
293,1.8770361981094084
294,11.570914799342972
295,4.5598428078062625
296,-0.4113631974184955
297,5.660697180824172
298,3.386103958748663
299,10.509143205451437
300,8.81625970906589
301,10.934633738159846
302,0.9367135870165839
303,14.890908949478671
304,0.7551501910215848
305,7.287818054530817
306,9.237797046751894
307,10.772931897984563
308,8.957559249705355
309,5.8416016904552635
310,-2.194065562242031
311,11.29748259912003
312,2.2493807675678
313,11.71340988006341
314,1.0244426908111564
315,8.54206889205716
316,3.280252034723162
317,7.687862002851489
318,2.713325169532709
319,7.933734339208058
320,10.016803084336516
321,9.6490572189673
322,2.4403123441461503
323,9.874332467243676
324,2.5637969149311175
325,2.201109387788165
326,5.3343910383418915
327,6.607276011263821
328,5.456065061899608
329,10.363322525764033
330,2.3636422613485593
331,5.6429908570617044
332,2.127278035213749
333,9.207292296841842
334,9.199250379896512
335,8.78988449152348
336,9.190051129517087
337,4.251830694373439
338,1.542809959108581
339,8.057409373018345
340,2.971041794631674
341,10.401237054257763
342,7.689661172424621
343,3.2445989574753185
344,9.867016870174666
345,7.241910351972365
346,2.507312389568142
347,1.3029821350905877
348,3.3016791529548755
349,5.298377473802702
350,-32.377806444214
351,43.866702446764975
352,6.873285575486534
353,4.345822269714972
354,5.577970345218091
355,-29.2171000102785
356,45.46617543764705
357,11.740261059357636
358,2.245668409746486
359,5.168412486816123
360,5.651571238135148
361,11.312423053566363
362,9.347110508016613
363,5.740826588195887
364,9.569271356639092
365,3.033748382277281
366,10.14668531082043
367,3.3993442380005945
368,6.628016779738573
369,9.33472964912653
370,6.225394919477367
371,-24.824808710719026
372,38.52392349847469
373,10.48968204827952
374,5.317537465225996
375,4.268447580752309
376,7.679159785889169
377,6.967150052509169
378,6.238676795803713
379,9.30618957669003
380,9.465570619020582
381,5.684492349618267
382,6.240118280652496
383,2.616106452587701
384,4.354495807328931
385,2.2657836577773196
386,0.040336069373552164
387,4.263517874119771
388,3.1063907319739883
389,3.4375694615969223
390,8.064023873389033
391,5.0091813974954675
392,3.892150878902612
393,5.101833667433311
394,-25.604931847131866
395,63.067621452163166
396,4.547620316486245
397,8.36072492013409
398,9.551715368439545
399,3.0028582848372025
400,8.599989437137992
401,5.755307537247063
402,8.85655222970945
403,8.028695677478936
404,0.16391586618738074
405,12.655578058071114
406,9.110503065935518
407,11.053409265074151
408,12.048068338566736
409,9.101392562869933
410,3.094342914814206
411,-25.96245605932654
412,51.75737733376536
413,3.5852567446440844
414,3.2267310701799943
415,13.715657644877865
416,-1.0857115326748499
417,14.31951247778079
418,11.327379635217767
419,0.9698943771586528
420,10.47958077334124
421,6.87640698746236
422,9.871425506793457
423,9.88428295611402
424,8.15491382127584
425,-1.1562572627426562
426,12.0797859028321
427,9.146758907454114
428,9.13761214854685
429,11.373704670372717
430,0.20099799649415218
431,16.68196004709307
432,-33.18043910034248
433,39.24801129591742
434,0.5544987404637141
435,0.4990488664170698
436,10.16864177376874
437,7.985112135070722
438,8.363127022936169
439,0.6686694125628492
440,4.217158789684618
441,5.21294163089442
442,11.893441502820679
443,9.286070126303912
444,1.4598331217230225
445,12.867655749623282
446,4.949201008896125
447,4.195835247760897
448,12.85089017466089
449,2.9822374990790195
450,10.724278819221581
451,4.831372200637816
452,4.180915133693816
453,11.239042669603805
454,4.762145578809395
455,5.176734218560341
456,9.467138402643286
457,4.798427708566123
458,6.479896044646466
459,9.142434957914247
460,4.318584937709602
461,4.917662944390486
462,-27.98659118770138
463,40.94111915689609
464,4.206580875997588
465,8.514745120844509
466,6.431254961671129
467,9.222277918975578
468,2.8345088886439953
469,5.6318778237973675
470,5.06869004141754
471,8.120984169665007
472,2.8062603709172436
473,11.229537427510422
474,9.210797466214444
475,4.762782205103576
476,10.78040119100342
477,9.85123315789815
478,4.186503984592491
479,8.606563017539429
480,1.6199033248694832
481,7.27719539553982
482,1.4579129923831715
483,8.050610531193342
484,5.759215658062203
485,5.092487584145601
486,-0.6666049034383832
487,6.819630873044844
488,6.13359993407812
489,11.31770529874666
490,7.722090086177559
491,5.683239940669409
492,4.479242070592136
493,5.1297276252389565
494,1.9707628285209466
495,2.616792065692607
496,6.235602760474649
497,6.347841868452633
498,-29.15364146263846
499,40.71926650082332
500,9.818428937294357
501,8.130595262218321
502,9.006078214089484
503,10.674268318994564
504,4.3017599394083845
505,3.5736685095912435
506,6.326730264852358
507,7.907072135875751
508,9.15216506373963
509,8.980012898675795
510,11.654551252885085
511,3.4324751163990186
512,9.315268966050098
513,5.593032885777575
514,1.4181085860018356
515,10.419845075151443
516,8.26002174430505
517,0.2872955529715
518,9.812230416234797
519,3.960638415966514
520,6.91054736193928
521,-26.506985793327658
522,46.94261904108771
523,0.08159376831281406
524,11.489783737006746
525,-2.1425656085189075
526,7.986954031692221
527,0.807399401470775
528,8.610191169268546
529,0.7600683870809917
530,10.28387067912945
531,4.159308908695948
532,5.073577228529757
