,delta
0,6.3500000000000005
1,8.428650000000001
2,8.957134999999997
3,1.3419999999999987
4,1.586992715000001
5,9.545970278785
6,2.6450710072850043
7,1.1637863427714947
8,6.589450128562092
9,2.6412621499349456
10,7.026056620327367
11,7.98995360928415
12,6.025926447251422
13,4.006999815561258
14,9.16829726469615
15,3.7829410171168547
16,4.843806828033138
17,7.325776605197007
18,3.9532576162079636
19,7.58407823902931
20,6.310762204088917
21,5.411867158613887
22,2.7752048184835303
23,6.08804346860893
24,7.8620330291040545
25,1.7663415701964311
26,3.7645752286262564
27,8.774790197801309
28,8.623390489277085
29,1.5799743895530298
30,6.505313739065855
31,9.92638822881753
32,6.768412617467618
33,4.755992481391132
34,9.734118260420871
35,5.118159529678763
36,4.4087687344718915
37,10.408625192177908
38,6.719265982630759
39,6.485623053350196
40,3.877752241414669
41,2.603874489173279
42,3.9849365202463503
43,8.712546716648092
44,5.2041348549254565
45,10.916691867183715
46,11.888159175491353
47,6.774434592298576
48,9.825022680465281
49,4.59617856150777
50,2.2037428702386705
51,7.8468417343729016
52,4.219111389138675
53,8.715234117532816
54,7.872256502779237
55,9.983849588460316
56,10.10738785354846
57,6.2824356825500445
58,7.9025258585149345
59,6.748629897861406
60,6.228398558884464
61,8.728884729993013
62,6.2329922541151745
63,9.767759261860988
64,9.757991502599225
65,12.240493924243765
66,9.585233511096476
67,8.485648277585483
68,12.805461828898956
69,2.2497558105395683
70,6.5196172768295355
71,9.760788193158248
72,0.9451743381557662
73,8.87828163331983
74,1.7296067860387438
75,9.682658269450826
76,12.012444802547748
77,9.811200322292905
78,-0.7313538925650391
79,3.82209255686746
80,1.2422704643105362
81,-0.10097180615366597
82,11.402941384939368
83,2.124048424087846
84,4.419067384964023
85,3.8057262242674597
86,10.092355418003308
87,9.723845397841615
88,4.694169124479686
89,1.2158281426252415
90,-0.12738768551730573
91,10.401659268202025
92,8.395340486394275
93,5.3622720848372865
94,11.36861083673898
95,6.163065111234346
96,6.208651139272888
97,11.841893199077163
98,1.8307383652302178
99,8.838946977327282
100,4.026664528707215
101,6.285645500543751
102,5.01954256438637
103,4.154015664363669
104,7.309725951445785
105,1.2231130172881421
106,10.69984154501276
107,6.149821530211966
108,9.521671708681765
109,6.13415003697321
110,3.357521700928828
111,10.121010723214226
112,5.789165341351691
113,13.192671875268502
114,9.665658365235004
115,8.402992706870009
116,12.477954036156007
117,14.230158632540451
118,12.907142769286338
119,0.0008844852236506995
120,12.42828870791709
121,4.348723263418151
122,1.341667044148835
123,3.783500339733905
124,1.1685723723684305
125,4.977403799996182
126,11.897793671068257
127,2.9917325105122927
128,9.70801430396159
129,10.782470479001859
130,2.575405627652799
131,8.8971523832289
132,6.555489770064469
133,8.026389218642521
134,9.639562440459258
135,7.250922878018741
136,9.459671955140834
137,9.61321228318559
138,-0.04320485131540863
139,12.24933908166679
140,4.564717461049895
141,9.718405173500173
142,2.070367827121572
143,6.472918555462002
144,4.941561499557679
145,9.558408506194382
146,9.478334201001644
147,9.530500780901548
148,2.397944576788518
149,13.44062985650828
150,-0.11686385026928292
151,9.8609981343983
152,4.24906135006313
153,4.893299560139894
154,4.91720053141762
155,7.533835341472923
156,6.46704148583126
157,8.050451807325544
158,7.100039649028986
159,5.807328101270514
160,7.433616884467256
161,4.690255196020644
162,10.496152391486476
163,3.2265952911434397
164,4.3390546926284514
165,4.333502176599268
166,9.486165938849126
167,9.787174859772676
168,4.839282386885316
169,8.700638301265826
170,6.216717340022342
171,11.289530774608238
172,9.90300134675931
