,Run,Q_delta
0,0,9.651200000000001
1,1,6.200000000000001
2,2,0.0
3,3,8.739999999999998
4,4,4.66
5,5,4.7306688
6,6,9.760000000000005
7,7,7.719999999999999
8,8,5.612200000000001
9,9,6.699999999999996
10,10,1.2735999999999947
11,11,10.339536211200013
12,12,4.194000000000003
13,13,3.4990399999999937
14,14,9.660545999999997
15,15,3.6485380799999945
16,16,3.766086400000006
17,17,2.746086399999996
18,18,2.345391360000008
19,19,2.6236140849087946
20,20,9.096984173285975
21,21,3.2602726455091187
22,22,9.742160918064087
23,23,11.814215518064117
24,24,9.264186248193596
25,25,5.3024400000000185
26,26,8.742545999999976
27,27,5.8613617748595175
28,28,9.868921598233754
29,29,9.658320015551396
30,30,9.293080000000032
31,31,8.040899999999965
32,32,6.376049099999989
33,33,8.678772054000035
34,34,10.48659998488833
35,35,9.730837293081947
36,36,9.26858478631138
37,37,2.0921606869582092
38,38,4.279778553599982
39,39,3.639716815711097
40,40,3.6440162367554194
41,41,4.767638796806352
42,42,5.437146463143961
43,43,8.949933718503928
44,44,7.34178088904963
45,45,6.819628694320272
46,46,2.140838499000097
47,47,6.280838330737652
48,48,6.971515563913954
49,49,8.108746076165176
50,50,6.740555551812577
51,51,7.575081705721232
52,52,3.850460876903469
53,53,11.609682398272412
54,54,6.374701877125403
55,55,4.153377160657669
56,56,6.68157170572124
57,57,1.0717747280207277
58,58,7.670020185252838
59,59,11.079809644280544
60,60,8.833924117261404
61,61,7.395670795994988
62,62,2.7341649555739878
63,63,2.610755145079338
64,64,3.362392814051077
65,65,5.1070245435969355
66,66,7.714670587261253
67,67,7.96328766571753
68,68,4.501653333174033
69,69,7.399255575091502
70,70,7.309010380254676
71,71,8.381540007475678
72,72,4.488419528851182
73,73,9.073740712345511
74,74,4.951879600377197
75,75,5.989262084785082
76,76,4.889159623019282
77,77,7.272710979947874
78,78,4.804566823924574
79,79,7.289776629772746
80,80,9.11054890259959
81,81,4.324146248981151
82,82,3.371537167030965
83,83,5.074662317426942
84,84,6.834720768721013
85,85,5.055596860099968
86,86,5.453090754705954
87,87,2.0957989844064286
88,88,3.313438090774298
89,89,7.596626299341892
90,90,9.818925611158079
91,91,8.447320680910138
92,92,6.345699716543891
93,93,5.795072142034996
94,94,5.07601015305579
95,95,0.26666691136767895
96,96,1.0734693517110827
97,97,5.621972426126831
98,98,2.823014029310343
99,99,6.744145705224014
100,100,4.708095502346509
101,101,5.526119647887526
102,102,10.463141388423992
103,103,8.773029730731537
104,104,12.06751670218489
105,105,7.112197295094006
106,106,4.206560421654217
107,107,3.2822009963267647
108,108,9.394828329505117
109,109,7.534794792935827
110,110,4.442935859070872
111,111,9.417052128643263
112,112,9.616234495184585
113,113,4.37108923755045
114,114,4.902838130389796
115,115,6.845460971384455
116,116,9.300963691561947
117,117,4.847386808899614
118,118,4.161378002149377
119,119,4.854453718679906
120,120,4.887560695785282
121,121,5.160301751790485
122,122,4.316806735832529
123,123,11.229076443456279
124,124,4.7746245502225975
125,125,2.3469659692425466
126,126,5.823122081298607
127,127,8.24788357244745
128,128,3.9326587978107455
129,129,0.9526398833006624
130,130,3.5740162689620547
131,131,5.267951054227865
132,132,6.433826358325632
133,133,-1.0011220808080452
134,134,12.679473746131976
135,135,7.705537260651909
136,136,6.33546684382145
137,137,1.5789305272950287
138,138,1.3250123365277204
139,139,14.642006746930747
140,140,10.36909814595515
141,141,7.879167685879224
142,142,5.940073954343234
143,143,2.73378544075274
144,144,3.9890203561246835
145,145,4.61477635342419
146,146,4.046981179501131
147,147,7.556758937457062
148,148,7.115870375949726
149,149,3.3367149760077837
150,150,6.02540147665286
151,151,3.7996905517430832
152,152,5.104121108990967
153,153,12.297949926225442
154,154,10.268794471026922
155,155,4.575478295813809
156,156,4.473979730377096
157,157,6.220694273275626
158,158,7.743466770194686
159,159,9.764374736636796
160,160,8.121126561102415
161,161,5.658108778744008
162,162,7.171896157236688
163,163,6.598368032411145
164,164,4.689825753762534
165,165,5.771299337159007
166,166,7.322314802293249
167,167,7.07484116718706
168,168,1.558639908469786
169,169,2.0644192385250335
170,170,9.83292025107744
171,171,11.718362092164625
172,172,3.699611419804569
173,173,7.112758349891919
174,174,7.77109713028517
175,175,11.302250744996627
176,176,5.866150815206538
177,177,6.785298057909131
178,178,5.369013907888757
179,179,5.302754617490791
180,180,10.776090428831822
181,181,8.25373296978296
182,182,4.237190140622033
183,183,2.573195773371708
184,184,4.122474874428008
185,185,6.808103784607056
186,186,3.892083252352222
187,187,9.527403067205114
188,188,6.626336637576287
189,189,4.983448382553661
190,190,9.576338982923744
191,191,6.399715180781186
192,192,9.963348733361727
193,193,6.42809695381743
194,194,7.174828824064207
195,195,5.712051869310471
196,196,6.933199154840622
197,197,5.628361375865779
198,198,2.925143439146723
199,199,8.080464460859275
200,200,6.497910531795924
201,201,6.664301832729279
202,202,5.9501726646335555
203,203,4.0822351037074895
204,204,7.594408169219378
205,205,6.419096337443079
206,206,6.306500454138586
207,207,8.052671138413189
208,208,10.299329010077827
209,209,7.935214029695089
210,210,7.318829011413982
211,211,6.106693445405426
212,212,3.903236578523547
213,213,9.39470702816402
214,214,9.76801965315326
215,215,10.054982298009918
216,216,7.628365257904761
217,217,2.6198607818794244
218,218,8.428676963476619
219,219,9.758251633500095
220,220,7.067247413785481
221,221,7.143689824921921
222,222,9.611098754499153
223,223,7.1051372349734265
224,224,2.5540859549689685
225,225,4.904299022076884
226,226,9.12460961874649
227,227,4.764256412857776
228,228,3.5676392098362157
229,229,5.151844461775454
230,230,2.2761809310964054
231,231,7.896439267426786
232,232,8.683810041744437
233,233,10.306759513399811
234,234,10.792301835693252
235,235,5.645808465793834
236,236,-2.012416432004329
237,237,19.791958277139884
238,238,5.0977924945582345
239,239,10.611071484081549
240,240,5.325957938005331
241,241,9.686179695148212
242,242,10.381381269606663
243,243,5.771223457024462
244,244,10.07723417153602
245,245,-0.7025126818894023
246,246,4.5892613757037
247,247,9.040617936946319
248,248,6.085334679318976
249,249,6.079249344639493
250,250,4.266705810314306
251,251,4.931206691537227
252,252,0.6814277170760761
253,253,5.543566210676772
254,254,11.305026256024576
255,255,12.778690093600744
256,256,9.65599353803941
257,257,10.72189721283803
258,258,4.195709842583938
259,259,1.5531891853088382
260,260,3.3358658101735728
261,261,4.712736595485012
262,262,6.736581736749713
263,263,9.64633754450142
264,264,7.716367480808685
265,265,8.535174856759568
266,266,5.096142653794004
267,267,2.857059741259718
268,268,7.1705274680346065
269,269,3.4876874135495655
270,270,3.457040464064903
271,271,7.4299570487787605
272,272,2.6053934321626
273,273,4.655200016126628
274,274,8.590090973478027
275,275,6.302405258519229
276,276,7.608996887721787
277,277,1.7287849645533697
278,278,5.633378591577866
279,279,-0.12532011411144595
280,280,4.553215429083139
281,281,6.989160683735918
282,282,7.778770410735206
283,283,6.658308217257172
284,284,4.92018421591888
285,285,6.652156612441104
286,286,6.290244615362553
287,287,5.634476565682462
288,288,4.719387894919464
289,289,3.552123228425671
290,290,6.7445365290268455
291,291,6.997518566601229
292,292,10.25775685887379
293,293,4.576978336552656
294,294,4.951596407081979
295,295,7.116727099793934
296,296,6.880129113736984
297,297,8.780744579396696
298,298,6.195096100487717
299,299,4.149907437384627
300,300,7.411588352417311
301,301,10.501614926688035
302,302,11.916515446577705
303,303,5.913186793995919
304,304,4.357937327480158
305,305,3.5414543780973418
306,306,4.272747578163717
307,307,6.295012834365025
308,308,6.817758891822905
309,309,5.7923434016370265
310,310,6.49849387391032
311,311,3.508051168758584
312,312,5.538248310711424
313,313,7.755219230840339
314,314,7.535741247469559
315,315,2.4804116035338666
316,316,3.831656824171205
317,317,3.233361456606872
318,318,9.791440361499099
319,319,2.2587834221285448
320,320,10.475001618839997
321,321,6.709424999402472
322,322,5.019338874754794
323,323,2.0293372087830903
324,324,4.460308120817899
325,325,3.7733388706387814
326,326,3.2974667104081163
327,327,4.572731631297302
328,328,11.334577409912981
329,329,6.799557042418655
330,330,9.507853539637381
331,331,9.349594577580774
332,332,10.31996012945774
333,333,2.722816250075084
334,334,6.8876100838474485
335,335,7.148091130075045
336,336,9.18572369035519
337,337,9.556550845574748
338,338,6.535397048062805
339,339,3.664533478519843
340,340,5.72691141996529
341,341,5.280252527995799
342,342,-4.42474193218095
343,343,17.993593799422342
344,344,3.6375888178754394
345,345,6.71212162113261
346,346,0.04013107560331264
347,347,10.044503540777441
348,348,5.407075286292184
349,349,7.331176917026369
350,350,3.0247289031563014
351,351,3.660170688816379
352,352,8.289287630816489
353,353,4.688657046342996
354,354,3.7940437590009424
355,355,6.65738108216874
356,356,4.113755353665965
357,357,2.520231544764556
358,358,-3.1226763230733923
359,359,20.307755151222864
360,360,11.406594937249793
361,361,4.866367757662829
362,362,11.331909495143464
363,363,6.119829730164838
364,364,3.5350704476363717
365,365,7.813067960993976
366,366,4.911165891680412
367,367,5.85836232045358
368,368,7.866679324767574
369,369,8.438598742711747
370,370,10.83784679304199
371,371,6.884556385913584
372,372,4.546927831676385
373,373,10.708131850462905
374,374,7.462903484505659
375,375,12.386313034465275
376,376,9.807807247036635
377,377,10.67087485470256
378,378,4.752477831119904
379,379,2.517298919095083
380,380,3.7033272391017817
381,381,7.517966588170566
382,382,9.603787369232123
383,383,7.52602691615175
384,384,8.604482789113717
385,385,5.111079631720713
386,386,7.449598372938453
387,387,6.766169929353509
388,388,5.000027172236969
389,389,2.639571209926089
390,390,8.857946099459241
391,391,5.785205082534958
392,392,6.098935201388031
393,393,11.307813138133497
394,394,4.478473962955832
395,395,5.917385121211282
396,396,0.07444714583061796
397,397,21.065515437875092
398,398,7.650467802893672
399,399,6.667851870402956
400,400,7.977557198130398
401,401,8.600104813023336
402,402,6.4316731320000144
403,403,-1.1586275027775628
404,404,12.862129332116183
405,405,7.978867402458036
406,406,8.108331587969587
407,407,6.33027590834854
408,408,7.675922147129313
409,409,1.965812502749941
410,410,16.470753009752116
411,411,-0.3485813687470909
412,412,9.575178364856129
413,413,9.603762888217261
414,414,7.566663360472376
415,415,5.314093338530711
416,416,10.646422271267511
417,417,5.693170932582689
418,418,9.48494772336062
419,419,-0.028750869267241796
420,420,6.778042012518654
421,421,7.670185079840849
422,422,4.536463518723394
423,423,4.439981416860974
424,424,6.485006842794974
425,425,-1.1750134493468067
426,426,8.238937826304209
427,427,8.584222980182403
428,428,6.866962447341848
429,429,3.3177410058751775
430,430,6.950075886305058
431,431,8.329085302290423
432,432,7.093784991115172
433,433,9.766727045069274
434,434,8.488805844327544
435,435,7.637518248141532
436,436,12.480846023113372
437,437,2.1707077979212954
438,438,10.448747773856667
439,439,9.270553665739044
440,440,9.139309848505036
441,441,6.572255474027315
442,442,7.112346506340145
443,443,6.996316084424052
444,444,10.798595169696455
445,445,8.178968786668065
446,446,1.2569561302302645
447,447,8.770938324554209
448,448,7.927768832698348
449,449,4.465339417326504
450,450,6.746913711458092
451,451,5.215776225177251
452,452,6.423412734672638
453,453,4.686749933028295
454,454,8.940151648880146
455,455,8.736847672145814
456,456,8.57996863152357
457,457,7.910173098476207
458,458,3.6138311183012775
459,459,-0.9053304154776924
460,460,16.796175960429082
461,461,5.625679799942191
462,462,3.265909873363853
463,463,8.57276692206915
464,464,7.136773873966376
465,465,3.8136900548993253
466,466,-0.05030789809234193
